0,201,402,2019-09-23T13:24:36.000-04:00
0,402,660,2019-09-23T13:35:22.000-04:00
0,402,DC1,2019-09-23T14:04:45.000-04:00
0,DC1,104,2019-09-23T14:45:13.000-04:00
0,DC1,170,2019-09-23T14:45:13.000-04:00
0,DC1,205,2019-09-23T14:45:13.000-04:00
0,DC1,255,2019-09-23T14:45:13.000-04:00
0,DC1,321,2019-09-23T14:45:13.000-04:00
0,DC1,355,2019-09-23T14:45:13.000-04:00
0,DC1,419,2019-09-23T14:45:13.000-04:00
0,DC1,462,2019-09-23T14:45:13.000-04:00
0,DC1,503,2019-09-23T14:45:13.000-04:00
0,DC1,559,2019-09-23T14:45:13.000-04:00
0,DC1,609,2019-09-23T14:45:13.000-04:00
0,DC1,771,2019-09-23T14:45:13.000-04:00
0,DC1,874,2019-09-23T14:45:13.000-04:00
0,DC1,955,2019-09-23T14:45:13.000-04:00
1,501,DC1,2019-09-24T11:20:19.000-04:00
1,DC1,501,2019-09-24T11:31:17.000-04:00
1,DC1,502,2019-09-24T11:31:17.000-04:00
1,DC1,501,2019-09-24T11:33:15.000-04:00
1,501,974,2019-09-24T13:46:58.000-04:00
1,974,5,2019-09-24T13:54:43.000-04:00
1,DC1,10,2019-09-24T15:42:36.000-04:00
1,DC1,69,2019-09-24T15:42:36.000-04:00
1,DC1,203,2019-09-24T15:42:36.000-04:00
1,DC1,358,2019-09-24T15:42:36.000-04:00
1,DC1,618,2019-09-24T15:42:36.000-04:00
1,DC1,851,2019-09-24T15:42:36.000-04:00
