e,te_auc,te_ap,va_auc,va_ap
999,0.8194535289206488,0.000130816215876346,0.8308231364399287,0.030353274399478124
1999,0.8889812078287347,0.00020572434319725256,0.8711740751727478,0.03416614414580398
2999,0.9007053603112617,0.0002513595080171837,0.9358191899221453,0.06544388120329385
3999,0.9208165179414131,0.00036522584084114807,0.9806268075681593,0.22203024377061814
4999,0.9281450153631473,0.0004812411254527655,0.9893570166873047,0.36831454473271785
5999,0.9259658471637433,0.0004837435553425954,0.9908377215471303,0.439100805648762
6999,0.9262131987452198,0.00045834027333644767,0.9872842664436948,0.3370829530969552
7999,0.9327588986281969,0.0007212319493169975,0.9872979984214062,0.33438252750395947
8999,0.9206210868656014,0.000434402504330944,0.9837261519668205,0.27607267460375085
9999,0.9273457907502504,0.0007149093755826768,0.9783222376644721,0.20348910890883898
10999,0.9124774926268903,0.00029981622614289863,0.9671954894250543,0.14117041849203865
11999,0.9160368435179915,0.00035646872885271275,0.9541168867682981,0.09537306799820966
12999,0.9119072577770423,0.00030194125333136957,0.9466052185530619,0.08190953039175983
13999,0.891809278310812,0.0008904875785778131,0.9479709809644192,0.0854052422653762
14999,0.904477888993937,0.0002784616707375551,0.9472606648165385,0.08283420860093907
15999,0.8968158526084058,0.000257037744147932,0.9398213730483617,0.07370868846186708
16999,0.8940529063491408,0.0002908465238000037,0.9400470208893564,0.07558887744570694
17999,0.8910768078515282,0.00023215025693792952,0.9468999642822306,0.08481159887154743
18999,0.8959159574094884,0.0003180839544681694,0.9407548063535404,0.07435547098649042
19999,0.8960542879755898,0.00028865887667954625,0.9407848489309347,0.07551125927945897
20999,0.8933909281154521,0.00023765196125382498,0.9451461650375818,0.08167562243343139
21999,0.8843893222411888,0.00022199355002897275,0.9398038454174581,0.07453016238100542
22999,0.8939703639520489,0.0002398204625321835,0.943995479116427,0.07974833770178298
