e,te_auc,te_ap,va_auc,va_ap
204,0.5798550805420005,0.00026129554574222077,0.703959449424372,0.6712903189291429
407,0.7199140377319161,0.0006802272247213794,0.9283055745982417,0.9073285696669854
610,0.7674914040923767,0.001449255386098528,0.9601852513626494,0.9433655468695241
813,0.8354154787519968,0.0034833893304791735,0.9686204594573083,0.9551723886732101
1016,0.8579640268947409,0.013349990696333141,0.984244437077926,0.9823180239280052
1219,0.8691163722452601,0.00195590135120045,0.9790937262134884,0.9713672756791208
1422,0.8706901817409909,0.00143315671037211,0.9719179007340668,0.9526377445230364
1625,0.8806729067696176,0.0012353104050993671,0.9795055647621658,0.9675263990618175
1828,0.9029855854985929,0.001402435572328747,0.9842527699626757,0.9754722978604685
2031,0.8989945197928549,0.0013599346038060832,0.9889407862445543,0.9863019269664465
2234,0.9002392074182926,0.0012947725426064483,0.9857746401882778,0.9787353922522335
2437,0.9145775999703796,0.0013282589595269324,0.9846984292550961,0.9740245084908573
2640,0.9193627142912388,0.0014645754960720527,0.9927675337353874,0.9900295288259711
2843,0.9232943107669108,0.001698066192993694,0.9923562401888852,0.9888825026549306
3046,0.9212782954680651,0.0016425741583987936,0.9907286809486981,0.9854199716194154
3249,0.9398146864874587,0.002512016745566766,0.9946170762714758,0.9929752173895506
3452,0.9335524589669872,0.0016351489922834808,0.9917157172927511,0.9881345091402931
3655,0.9421425876594091,0.00193317715793279,0.9964680518159791,0.9959586161151315
3858,0.9505755092741592,0.0034778672988504153,0.9958059911976124,0.9950763021313895
4061,0.9465850903382963,0.0023452722825847558,0.9897771813812435,0.9849409983685448
4264,0.9535503651125139,0.01136630773197565,0.9973697729724086,0.9969155793619889
4467,0.9427287123591273,0.005395370151640188,0.9967469919168166,0.9962473828969675
4670,0.9536647761835209,0.009532427170241792,0.9971135920877839,0.9964973962003784
4873,0.9535208488873088,0.03783308042999493,0.9968948781941129,0.9961794257190391
5076,0.9525806722784789,0.05987144430343131,0.9977697156771417,0.9970744644195927
5279,0.9599644491598728,0.04215761395695887,0.9962285085169055,0.9950643664842993
5482,0.9639409583436187,0.09182460860634632,0.9961219408418155,0.9948567334316684
5685,0.9659111621762526,0.07640137609700402,0.9952605207727614,0.9936162070904356
5888,0.9619443209421968,0.04248847256484028,0.9945653635519479,0.9922783982007243
6091,0.9640703879150998,0.03813036685874653,0.9930743861806414,0.9897655439469168
6294,0.9619139059588538,0.07885935316247418,0.9880749229416208,0.9821554999123763
6497,0.9679483864872336,0.08102370025718726,0.9890500478648931,0.983654549076394
6700,0.9618258696593733,0.053983305943354334,0.9900111850789168,0.9849684967832673
6903,0.9623727933849788,0.036525182903762776,0.987971690840967,0.9813931396016131
7106,0.9559320153809604,0.05207967059642089,0.9798979020196742,0.9657430133339551
7309,0.9559614056120339,0.05531969069405905,0.9769797218149165,0.9589243526471035
7512,0.9522633182600674,0.043209730953951885,0.9808118159888017,0.9665289663825395
7715,0.9492352509001777,0.08654804061044381,0.9703756018690886,0.9430822405584851
7918,0.9488220657453506,0.041554726083169645,0.9724905268436492,0.9472797891683089
8121,0.9473497907203877,0.04677969657161556,0.9709858241205281,0.9427437146199092
8324,0.9573124826821067,0.03324292426072944,0.9676078640597554,0.9350051646298075
8527,0.9523249293903688,0.041860994679728175,0.9604734998118462,0.9140907579557525
8730,0.9469709011681537,0.01651615660995419,0.9564022640165586,0.9040089043922327
8933,0.9536519919789784,0.03765081590596738,0.9602969099906665,0.9117965421689876
9136,0.9477534759177001,0.02638417546471316,0.9449392588139649,0.8679985047575564
9339,0.9348650406300836,0.025343282450895985,0.9454192038935335,0.870536133438988
9542,0.9347106054233049,0.013758524810963674,0.9463170809794986,0.8686406584789791
9745,0.9457590056153401,0.055262448045169575,0.9350376489752137,0.8437293707031921
9948,0.9401442115389727,0.025323157652983194,0.9310015479138284,0.8300776429446736
10151,0.9355676595037827,0.006985892174213381,0.9288941585291871,0.8256060626928964
10354,0.9414910636058358,0.017212120191669428,0.9296036707365448,0.8260406232506551
10557,0.9238322889091801,0.0019170921435560124,0.9242466764369409,0.8138702709638962
10760,0.9164853443122267,0.003172972141796961,0.9174441950053364,0.8016981931264494
10963,0.9150196377813192,0.0030085226805978953,0.9218972566284499,0.8098676569252219
11166,0.9104907955239224,0.0023987355641023364,0.9204082479678559,0.8067071991930047
11369,0.9076210103916263,0.0013454600587161772,0.9168241430932874,0.7997376890488987
11572,0.9163900255519458,0.0014233283541138352,0.9185774759249823,0.8030968313586474
11775,0.9040368049353145,0.0011575338801085918,0.9108990619836981,0.7889969212794768
