e,te_auc,te_ap,va_auc,va_ap
211,0.6353876491682321,0.0003923505472745025,0.7283867603786477,0.679942197772066
421,0.7774173141673076,0.0012699829571570541,0.9577091326431739,0.9405839455874475
631,0.7996822663192723,0.0011470564782502127,0.9692215789188663,0.9595772052223789
841,0.8182887940718653,0.005177316769875131,0.9818987518801569,0.9819947255600956
1051,0.8260304950820123,0.002377471133493772,0.972493533457386,0.9628283533687513
1261,0.8339306043138845,0.001226034026313495,0.9720382432686037,0.9589601841629359
1471,0.852417530037253,0.0012213400038145416,0.9859128564675376,0.9843494518253912
1681,0.8608533075189837,0.0010575674465413605,0.9795602885674425,0.9701969355251567
1891,0.8859001932951568,0.0011738579163578053,0.9787844719381937,0.9665240171345499
2101,0.8881884651129474,0.0011373493970297634,0.9816247648611027,0.970066648379167
2311,0.8880618074123591,0.0010738403936614916,0.9823703557857949,0.9731698477945893
2521,0.8906852320195371,0.001078393131106871,0.9854864231495551,0.9805984379543624
2731,0.8925232176105794,0.001062905020244946,0.980775007832726,0.9695083020896923
2941,0.9011737562892491,0.00115207147740336,0.9841428118897293,0.9773184577245828
3151,0.9132821367099492,0.0014355072925563161,0.991883766432863,0.9901236859581074
3361,0.9129492098168849,0.0013828976902843842,0.9913708897273742,0.9892378352050825
3571,0.9311912785451044,0.0025453930761909146,0.9967366657216189,0.9964503667449544
3781,0.9351485022271226,0.0026007955422936253,0.995278434483112,0.9944392715854867
3991,0.9205176100989638,0.001519331430624543,0.9921876547173125,0.9905145685008645
4201,0.9383303076262635,0.0027856082357635894,0.9965796989869872,0.996300410153001
4411,0.9480295626582423,0.005789619906636059,0.9976764456768924,0.9974277990878607
4621,0.9493100662154599,0.00632446588022699,0.9965723641313486,0.9959046283865949
4831,0.9636712553057388,0.013319488662355824,0.9981751841215047,0.9976491214145523
5041,0.9658503238099577,0.016812226136922223,0.9980955897875111,0.9976731473111884
5251,0.9662967714154997,0.02336799114201968,0.9981250694107644,0.9977063819196815
5461,0.9724478217143393,0.024773031910050078,0.9983657929963726,0.9980008544596606
5671,0.9672233490577369,0.03282366813163725,0.998324808133205,0.997748552872655
5881,0.9682773151665252,0.0401425199886337,0.9984138994159747,0.9979056697624611
6091,0.9653073143020373,0.031597199921819454,0.9980274191058075,0.997604544977183
6301,0.9654642105941846,0.03700267929970208,0.9981609426723417,0.9977815394714891
6511,0.964184899781412,0.03719818023680152,0.9973631228463957,0.9967012049118595
6721,0.9610489310473093,0.0262634827621879,0.9975460294984488,0.9969436510016929
6931,0.9625025673404194,0.03604480532265307,0.9969434213997999,0.9961908385904079
7141,0.9577498083125283,0.03092466562469188,0.9923326415073911,0.9891881630202346
7351,0.9632308722177262,0.03223021984744165,0.9948603367591337,0.993182708826031
7561,0.9511601304439082,0.031606844940174496,0.9891064803493348,0.983161127082025
7771,0.9634293213744407,0.043615041105241295,0.9904630510417672,0.9858858642068685
7981,0.9455313006212922,0.022365946695939602,0.9811212525692116,0.9639874788527549
8191,0.9441322617851635,0.02315367178364594,0.9794118012484129,0.9605978763520748
8401,0.9380707849142086,0.017245166939886175,0.9697554176694909,0.9332547782991034
8611,0.9430207835551518,0.02602080794984422,0.9684114679968416,0.9298905349207627
8821,0.9464848074092345,0.02626459784628687,0.9666089226397496,0.9264062976062326
9031,0.9341227336049632,0.009857618306677623,0.9570849423314578,0.8966768290563405
9241,0.9446177927702955,0.02044347717533535,0.9576544642336178,0.9002317663100331
9451,0.9366918379422491,0.019239432518512435,0.9591417426895905,0.9044510119736237
9661,0.9335277725168228,0.006248830031059019,0.9508812139534485,0.8775254842623407
9871,0.9298184296891093,0.007354993569256026,0.9449727128527126,0.8667755153244261
10081,0.9299229208221631,0.0074458887560081,0.9381235567882802,0.8487245038028335
10291,0.9325124698071863,0.007963865869768485,0.9390323712529954,0.8524198822620307
10501,0.9328831613412644,0.009538557768612803,0.9387684765106206,0.847969902319789
10711,0.9327023429633504,0.004757146644826775,0.937197463345451,0.8438720615292106
10921,0.9286503212967948,0.010655335978030383,0.9350706319540674,0.8427245655210436
11131,0.9206053776109638,0.003024237238966057,0.9354203145544709,0.8413535405102842
11341,0.9193241012897397,0.00900392927243286,0.9264932399680559,0.8220695348098195
11551,0.9157709323878196,0.0019948847897697944,0.9298291118168119,0.8274820863521086
11761,0.9232811485799739,0.00647829508552281,0.9283070265274136,0.8254127251738328
11971,0.914086012867327,0.0038525280578412067,0.914885936004907,0.7976599419362983
12181,0.9265581719440904,0.005445184035854841,0.9234179125578468,0.8145237663111831
12391,0.9225364224675289,0.004143383767361492,0.9235293378323084,0.8153995321213808
12601,0.919573401677926,0.0021485787693395343,0.9208140465175187,0.8088050007839962
12811,0.9146276196405835,0.0017690116130261912,0.9127817562758266,0.795193890576425
13021,0.9155560367971405,0.0015078970711242458,0.9113768996798234,0.7925980647150624
13231,0.9149710208457794,0.0015079886442230389,0.9076333718243754,0.7862585676076007
13441,0.9087187048636524,0.0015840193839062294,0.9091951470799627,0.7869285603290581
13651,0.8996689243807078,0.0011803866282986155,0.9033938269931663,0.7771216046904054
13861,0.9207556886098383,0.004606402198961515,0.9054741479119872,0.7821810638499446
14071,0.9189395672004148,0.0033577232617581633,0.906997975367447,0.7859021286259175
14281,0.918112600518538,0.0017853778667599918,0.9012548705828078,0.774440740391782
14491,0.9146391607030284,0.002311347432086966,0.9070484779087628,0.7842351611814549
14701,0.9152264025507125,0.0020373561515415134,0.906664363439761,0.7825698903612799
14911,0.915155736642161,0.00204472426183226,0.9030971820917133,0.7766733392128061
15121,0.9082075046741303,0.0013232092143034492,0.8953733814460918,0.765691401951732
15331,0.903340309376406,0.0011919604709184541,0.9015916226040712,0.775028640551353
15541,0.9078356035963899,0.0012606866962672739,0.8975903642732721,0.7673170314942824
15751,0.9124197236790784,0.0015539251551288475,0.8978250858811404,0.7699896326713228
15961,0.9116021477598025,0.0015901261753974215,0.8979621428380276,0.7703131271901524
16171,0.9087625340221953,0.0016179445516518662,0.9031116244402437,0.7767136284321515
16381,0.8973724293459349,0.0011317737391960607,0.899391328073372,0.7712655367828261
16591,0.8966926574080804,0.0010761632753296222,0.8977683796501247,0.7687149143014034
16801,0.8995896572727794,0.0011599260952997966,0.9033404335106149,0.7767899253225052
17011,0.9141088682027804,0.0019174638432290457,0.9030744815270952,0.777509274845464
17221,0.9167750720174056,0.001649069673828779,0.9006893317631879,0.7739740439083523
