e,te_auc,te_ap,va_auc,va_ap
8,0.7075692371824995,0.012498124964954477,0.5636623972202333,0.012496270588727869
17,0.725991609677256,0.01345590971115447,0.6025438489530905,0.013985298918395735
26,0.7133393219154798,0.011376028652476668,0.6431404385846573,0.015128326068150757
35,0.6826782346370787,0.009721147187903751,0.6547800850257187,0.01579044621693962
44,0.6720968943745744,0.009259633914826346,0.6769104367513119,0.01698213185552714
53,0.6959589883681246,0.009862785382412014,0.7098773474604706,0.018912683444188966
62,0.7081419403480614,0.01010425631435478,0.750269432596882,0.021076690671112404
71,0.7100943074108063,0.010185245704373125,0.7619406610075098,0.02122483486292655
80,0.7134268486907286,0.010390424115083357,0.7714540807502188,0.02220766286592416
89,0.7097353317758551,0.010440458374055937,0.7765753799003076,0.023679631623801912
98,0.7044288382766698,0.010448985027114489,0.7898920617872005,0.025254680291012545
107,0.7015510265928024,0.010415835810687493,0.7932030663567275,0.027939398674946797
116,0.698927885274769,0.01041619033116243,0.8093396929665259,0.03318457366927005
125,0.6933309024631188,0.013018557016426461,0.8213763322021937,0.06533493275647333
134,0.6936354876413738,0.013619561315624445,0.8454441236089923,0.09133311167169697
143,0.6940117934674848,0.014359371632807072,0.8721128787328469,0.12726871959322705
152,0.693896185300114,0.013854282955216424,0.9094957867646296,0.31492078412327773
161,0.7004974916530958,0.011882326604661481,0.9377524482079913,0.5110248576136829
170,0.7064150726568782,0.011064607855669017,0.947473658631079,0.662217759895643
179,0.7116584588821664,0.011573757097283222,0.9378394326660647,0.6889988841444572
188,0.7265324247393865,0.01722223829162997,0.926773342292512,0.46423095454753793
197,0.721202525482622,0.01584531602748534,0.9339568091487397,0.5717073407452701
206,0.717542751850641,0.020275634200206203,0.919300029575667,0.5324823545884044
215,0.7139289001219361,0.023039190509586277,0.9237664611936116,0.5158859979049488
224,0.6958148505545827,0.01762029572289,0.9307344883409607,0.5980540335680655
233,0.7077197264111065,0.03155276046326605,0.9221209904216349,0.530381587901842
242,0.702753816338427,0.036995281711426756,0.9274328839907433,0.5758101272134054
251,0.7080522274722962,0.06767121459651805,0.9232371172891394,0.5324651303849809
260,0.7056020984247828,0.0873568527270306,0.9062322762194341,0.534540953434173
269,0.7059105937575892,0.12450180317337618,0.9195223140624513,0.5320442431453718
278,0.706466546014147,0.12431492814604408,0.9199220611991463,0.5422983381612678
287,0.7058113503111186,0.13776250393982264,0.9331420427619176,0.5990408062647857
296,0.7099698789829924,0.1804997707513197,0.9323452985066882,0.6039466253126591
305,0.7129887803528678,0.18437778839182897,0.9566704976668085,0.7108369639994091
314,0.7239833487826964,0.2134809686125233,0.9628468568503126,0.7544647757243703
323,0.7280638260802977,0.18921627302155822,0.9727881508808706,0.7961992588367712
332,0.7818428573572309,0.1411775037040668,0.9789452296697557,0.8870989620684421
341,0.8467093904726953,0.15168358662188203,0.9775874038790823,0.8912673939155704
350,0.8649241110032604,0.1715635564159756,0.9848023273109665,0.9126153861702464
359,0.8147604348301506,0.22004503411449863,0.9846300576984942,0.9097216109354266
368,0.8492598939461263,0.2556440295526304,0.9868938285441508,0.9124614309660041
377,0.7361577494546196,0.2651322806922708,0.9844375996665387,0.9091830694694872
386,0.7019988530765013,0.2741619245834579,0.9817202747250846,0.8983114901702889
395,0.6976788219188451,0.29203061357709265,0.9861180985786384,0.8788548517824205
404,0.7799219370400845,0.2982071308616494,0.9857407061493173,0.8780159740053443
413,0.7103264823195914,0.23836160479250465,0.9786043571356918,0.8433904642208244
422,0.7236830737395289,0.27718969411563693,0.9813806128908399,0.8428948381914474
431,0.7094192023317817,0.2607309375813621,0.9726252036570053,0.7399498387537989
440,0.7800678333887421,0.32732999671138296,0.9801701811552843,0.831634115259516
449,0.7037800629508677,0.2703056932486488,0.9716985296915482,0.7220344569720032
458,0.6870307400765381,0.18363998487585267,0.9707656681852301,0.744448269913329
467,0.6968314700492919,0.25921971581850123,0.9678360124390759,0.7449339751758751
476,0.7412059796593622,0.3099282825026128,0.9760581862333053,0.7824380556039582
485,0.6859733294633608,0.07052208039446974,0.9733506809321697,0.6651543263396188
494,0.7269562661833504,0.2682343555855311,0.9790967271324748,0.8167598099161831
503,0.6857797319876627,0.2976399639582498,0.9762417283258789,0.7758573000423998
512,0.70025031057799,0.29654800053364805,0.9735701635136584,0.79554911656106
521,0.7501437654178704,0.383457400110781,0.9777684251216753,0.8306296628921929
530,0.7573148716294192,0.37704469435874244,0.9777736441026812,0.8322024279260819
539,0.648348091419772,0.29033533757048136,0.9802810726108568,0.8526443887231738
548,0.7187117156560988,0.3403493348898427,0.9744401767275822,0.8001795897023098
557,0.6595592975834225,0.3348948865954537,0.9776563532337792,0.8302002791621228
566,0.6556710661031557,0.3333258824331417,0.9786217912130867,0.8457028847705235
575,0.7044301071804395,0.3464797356123698,0.9873742428802202,0.8614315227761269
584,0.7102455897042693,0.3391547864844423,0.9787627599113076,0.8548992809954402
593,0.7015443303669305,0.33451271625800955,0.9808066287544667,0.8358879986232091
602,0.6802820271035639,0.34665138594487166,0.9805994304522136,0.8555336599126374
611,0.657853801266057,0.31764657890221926,0.9845301533437799,0.8900331356892789
620,0.6911681732232395,0.3297805648419394,0.9863868306991964,0.8940191300486093
629,0.637456807619072,0.2973879437589694,0.9813109371162514,0.8614484315098455
638,0.7170217289288323,0.3159864629554066,0.9880639439757306,0.8894505578331631
647,0.7067902957770551,0.3567846716589449,0.9825822973202024,0.8661011435818368
656,0.7926775577045023,0.389359073179389,0.9834085480595941,0.9046686906509849
665,0.7069302062101033,0.3613408675768694,0.9820944501520293,0.8544376755272435
674,0.7286274676178517,0.3709642972701311,0.9886038987993317,0.8846390993196807
683,0.7458577395020005,0.3448217314840641,0.9892377433939029,0.911224812660569
692,0.7249672457318215,0.3536974920728795,0.9867600548619975,0.8881614176596279
701,0.6913514194785114,0.33300304789865237,0.9836726406054883,0.8626582740998683
710,0.6869750600274238,0.33592833068070777,0.9805379096056923,0.8489522527953548
719,0.7266174068108796,0.38271002580110963,0.9818317023477199,0.8830045383540951
728,0.7197777051621543,0.35916202062744834,0.9802471773398503,0.8626938891355418
737,0.7052767073624334,0.3525674338374236,0.977849663079536,0.8325135556556762
746,0.7344656731738627,0.3602438723406531,0.9870953106136865,0.8870408794667174
755,0.6771320838345963,0.3371580258867583,0.9801608068795423,0.8432306686994864
764,0.7297121596620788,0.35581451558879207,0.9814236921847597,0.8657190828239658
773,0.7263547092494589,0.352768400102569,0.9825225665798422,0.8461416053237476
782,0.7195189729250141,0.3501977571864892,0.9790618762733968,0.8463182295618066
791,0.7244860622506535,0.34996970356756596,0.9802510688749831,0.8244724560832662
800,0.7230660899701322,0.3517143968938482,0.9823057951011627,0.8269784113347322
809,0.7091947236002089,0.3586002830424127,0.9762304861132731,0.8085697746682
818,0.702904553830815,0.35877701358016206,0.9854300881389468,0.8834164279992797
827,0.710738586403685,0.35941264915277954,0.987274399060497,0.8843466807888374
836,0.6464964918672648,0.31080011492630233,0.9778530789825971,0.8301199353458742
845,0.7181998302206756,0.3733015254262839,0.9878095154087495,0.9003582618188246
854,0.7334307649139501,0.3688811127626651,0.9867017726374923,0.8896138964798977
863,0.7258254936228759,0.3554920939521373,0.9829841718294366,0.8809941158945774
872,0.7221843190858244,0.3639947497649534,0.9801539491298528,0.8635930301176303
881,0.6910416276570707,0.3549850682742653,0.9869822398984396,0.8916997231842912
890,0.7226357384981321,0.31125134840337243,0.9913427785214933,0.9124721039666788
899,0.6865535770893797,0.322919169589847,0.9878980002698131,0.8991764680337894
908,0.7180794774566005,0.31847792846091066,0.9830141063824636,0.9013864617951286
917,0.7321887632833536,0.35602907169556347,0.9842197817973012,0.9029219361405194
926,0.7367001161653817,0.3882001401727353,0.9846270871600096,0.8831978599616176
935,0.6985827779304753,0.358496064522131,0.9892004192480517,0.8998736246000704
944,0.7467429791830268,0.3727967259382641,0.9848783203442538,0.9063955623331109
953,0.7264674830719962,0.3648378391347525,0.9869573297496619,0.8865762985798276
962,0.7550398030286195,0.37481227353541957,0.9866564924642585,0.9126056534300347
971,0.7196733102422271,0.3793579076903167,0.9872660192881777,0.8888746972274988
980,0.740882519537532,0.3813790500905765,0.9841233798242064,0.8985517115088248
989,0.7392452750713041,0.3924108641335124,0.9839782212398258,0.9092701390546047
998,0.7225011450477279,0.3880936797548317,0.9890171538868653,0.9001473298452721
1007,0.7357957532769992,0.40156360023256793,0.9887419099308518,0.9006078797895327
1016,0.7312561328050133,0.397619293124174,0.9880395224308085,0.90137442433019
1025,0.7892200225070427,0.4214711782294944,0.9871581632300087,0.9023016074747835
1034,0.7328806744411114,0.4127256122920273,0.9863282025604572,0.9080700450886424
1043,0.7374170467952953,0.40190090656156024,0.9819442196001923,0.8755186948113639
1052,0.7363438438471573,0.42379788562900067,0.9822202375393045,0.9035120219359322
1061,0.7389096155431223,0.366833092427579,0.9872443780289115,0.8878386103115854
1070,0.7896895169018534,0.36251413229708546,0.9856151263105826,0.9098880600183321
1079,0.7443252554551553,0.40690321402590124,0.9861620815734947,0.9048896176572174
1088,0.7792781683672,0.44164459443092297,0.9877845274292691,0.9276335931251288
1097,0.7670697417648421,0.4360739257822956,0.9910085994278579,0.9179920221851328
1106,0.7264612902699025,0.40832840843762963,0.9841886408683831,0.8963789732720232
1115,0.7309420101598366,0.40287468575803753,0.9842901494003576,0.8625864897754761
1124,0.7335014580256012,0.40317785785895555,0.985481430459132,0.8823517322645031
1133,0.7431991723216559,0.4038454142838575,0.9880103921283757,0.8960803215677717
1142,0.763360260206924,0.41131767462866065,0.9829411530705077,0.8984028544362003
1151,0.7347533005566295,0.4098428866140985,0.9850060362033838,0.8882692930806105
1160,0.7387333137775034,0.41886418799470765,0.9859233877802338,0.9099197843735017
1169,0.767839393967146,0.39328192887081737,0.9883931202847566,0.9121047770074492
1178,0.7575753486092428,0.4052842979268442,0.988937796837652,0.9231487540185894
1187,0.7682369263465358,0.41276784032210107,0.9898496743217486,0.9250507037866206
1196,0.7663010895138785,0.3930471464069981,0.9832077967338778,0.9048759825678925
1205,0.748924969554585,0.39127645016431745,0.9840938949596837,0.905099488055166
1214,0.7528391032226736,0.41565186013492567,0.9876279104358865,0.9259386943414379
1223,0.7583867505040582,0.42180809427356714,0.9882305232990533,0.9089777085823043
1232,0.738559894630231,0.4237947639937505,0.9874317684173386,0.9121040793660896
