e,te_auc,te_ap,va_auc,va_ap
0,0.3179416528422795,0.4827332237297575,0.4904530269974904,0.01845520668661619
49,0.5613095184728737,0.6320642859294462,0.47497695997716266,0.045411443715469624
99,0.7136769136231588,0.7460911604633058,0.56783571225246,0.11629237015985912
149,0.8026515029383895,0.8727936108041833,0.7445535576919332,0.3528914986041504
199,0.9169908338728967,0.931139063366177,0.7989426805209879,0.29977205567232856
249,0.5833792517872034,0.6862874023713986,0.8294759111413619,0.38920856805910364
299,0.3913530187854519,0.5405133524066504,0.7497820544685412,0.41593705924183044
349,0.36838116307587015,0.5149746103766671,0.7246269981070564,0.3904855830622492
399,0.2499574753877877,0.440365064137987,0.6911206429759851,0.3682590648062767
449,0.1623172559117497,0.41256638218945013,0.8139770779615543,0.5916750479463417
499,0.20858741764228705,0.43300557898175,0.8459030346007486,0.6547876109738336
549,0.19993422015738938,0.4231319988064485,0.8444240943683632,0.6687595430221149
599,0.24475361037081317,0.4423562345504475,0.8618889408620682,0.6791900859000846
649,0.24145662358542777,0.4451303593618384,0.8577962406310331,0.7113302249328846
699,0.28453411187302025,0.4723848741697,0.8739911299918596,0.6972980032108134
749,0.3475455160685068,0.5262651211585517,0.8903245749397257,0.7434497708755663
799,0.420629966600429,0.5833273639286243,0.8997400032571482,0.737847262026566
849,0.5321758395531546,0.6511528071062799,0.9021115869030509,0.7263311865623949
899,0.45825279020170345,0.6068794046841138,0.9125116970082924,0.761627599914342
949,0.47597652042568467,0.6169343077643711,0.9088213821798452,0.7682139532877984
999,0.5272376509218566,0.674830183829368,0.9038156134003653,0.673423432389271
1049,0.35245779146689343,0.5218525913096915,0.8965952364085876,0.7001793401606022
1099,0.37732298924729846,0.5502332535833689,0.9083540921758334,0.7284568811954717
1149,0.32733586528720665,0.5109766550827137,0.8894987359278864,0.6856587161130648
1199,0.45861226708322694,0.6159236503004445,0.9069536858112976,0.6489668441652596
1249,0.5025904801427333,0.6522717991097104,0.8979825561618687,0.6418764981854734
1299,0.483231224052014,0.6412672248884137,0.9042522398371133,0.6473645009607216
1349,0.3865811964592371,0.5720285116472157,0.8802973896399642,0.6451881517818221
1399,0.403595670741554,0.5685296282363679,0.8943880914799365,0.6742967219227065
1449,0.3643706589118337,0.5496218323862575,0.8792963308233656,0.6659509978587478
1499,0.4444535865077503,0.587769335960264,0.8835246796326157,0.6263357251439824
1549,0.4561612631983232,0.5969347297728481,0.8934926272738367,0.6416136049328884
1599,0.43165950258090635,0.5925370315094313,0.9124861617859753,0.7053759762560882
1649,0.4150298339194242,0.5702689463933798,0.8797683698208585,0.6386113459966846
1699,0.4357870625785983,0.5716700822637423,0.8851697676924655,0.6360721942757711
1749,0.5091357030664494,0.6531323199991032,0.8999171401054102,0.6615527742751072
1799,0.42963650330667064,0.5877571650375015,0.9159874368531956,0.6988075430347271
1849,0.44930037449425736,0.5977238486804953,0.8908392098324005,0.6451268126028327
1899,0.4222074375831203,0.5728379205646569,0.8856121625029699,0.6441180893534448
1949,0.38766453998670497,0.5420010071333534,0.8878064916407977,0.6549577302371729
1999,0.4495677886002291,0.5875170942882583,0.8812348969429871,0.6502501665294256
2049,0.41562382776947915,0.5654869688350157,0.8854050832609522,0.6352733942183731
2099,0.48601166870058243,0.6346406717005023,0.9024417920676837,0.665866969091495
2149,0.45027000701654585,0.592678580422829,0.9074533606644907,0.68662591761596
2199,0.5007145573964799,0.6290477762933763,0.89868769446327,0.6638662575723405
2249,0.4101729839631339,0.559367595681428,0.8720836291057594,0.6252904366270636
2299,0.44531902028647796,0.5911855196239084,0.8819604258928189,0.6312726082576682
2349,0.4644465680429961,0.61316885642291,0.8799238278486009,0.6314341541233172
2399,0.4951010784178986,0.626962080797398,0.9012014547783841,0.6472096347900388
2449,0.4646985210373185,0.6097123128718531,0.887667826508415,0.6390841862280647
2499,0.43548865447409224,0.5818755179292896,0.8882884992645045,0.6377585557715109
2549,0.47191989502846293,0.6150114886434098,0.8828052030629852,0.6336342088950424
2599,0.405987949454097,0.5564294793858195,0.8716760778288015,0.623848183698142
2649,0.4235301579238807,0.5765529505723017,0.8856714863777526,0.644141835912454
2699,0.41765089537414785,0.5709627559819975,0.8745221114840521,0.6375592456624299
