e,te_auc,te_ap,va_auc,va_ap
0,0.6363186814518635,0.7858434487360443,0.5580972631191503,0.038889808932553054
49,0.6089741433952923,0.7841193864739181,0.5455055452664078,0.029697419863719744
99,0.6482238052516867,0.8127621654320167,0.5663962195009536,0.0434296305366068
149,0.8092946302179695,0.8644921788446112,0.8635794892249578,0.44029826527400767
199,0.926719013175616,0.936148349467266,0.8987401179957519,0.2646124418539695
249,0.9144479787542227,0.9361058776907837,0.789865914674402,0.17965344348609877
299,0.9701940751290393,0.9621065311190456,0.7144734015386982,0.15943122859269251
349,0.9673741926561978,0.9557271697930654,0.7562253249114874,0.1907150129395061
399,0.965763750556466,0.9408579422877216,0.8399713591672087,0.29428977900596387
449,0.9668646413950375,0.9400386600497841,0.8558005080713009,0.31526467137430325
499,0.9745277446799335,0.9605959730250447,0.8559941446796991,0.36430884060965274
549,0.9814016026299199,0.9710146507610501,0.8377771913044691,0.38381593024013294
599,0.9446062037694146,0.9429076481101336,0.8185794622443455,0.3833648182018707
649,0.8407970254107329,0.8395845523716406,0.7883684754793704,0.3459555322616528
699,0.7286751854315455,0.7099265490618543,0.73517604930644,0.3266896711197111
749,0.5848386348864163,0.6053223369017633,0.7487628689406007,0.36941193648031
799,0.46499175604561693,0.5390727616014752,0.7135141941146724,0.3374112005319397
849,0.3581760323480366,0.4895145598336232,0.6942760134080254,0.3762648010510491
899,0.283515003481754,0.45952890195262897,0.6956801524286933,0.39300386182864794
949,0.2586523025935907,0.44078224875847305,0.6881099241264611,0.3973855147831194
999,0.2621626512005504,0.44272620688951053,0.7017909253692733,0.40610283243722195
1049,0.34162331685535197,0.4761275565256775,0.7555909589875219,0.47898127396349754
1099,0.2949277200521373,0.45426928851118237,0.7527315283425449,0.4928670351947464
1149,0.3303078718828797,0.46789316063385233,0.7869085555643192,0.5468030150743761
1199,0.36504849434550896,0.483447723979862,0.8152692575844327,0.5713260797615367
1249,0.38220782876545556,0.4929221892029239,0.8433568701645874,0.6279904329239496
1299,0.39287860389679957,0.4995548141759954,0.8455807603160879,0.6080181969298153
1349,0.3905779565993474,0.4980346438875434,0.85457556494562,0.6206236051630695
