,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.9832466676153,0.2652222749248335,0.8193873279074312,0.004081007677677922,0.9887070175507717,0.2961134433871112
1,0.9844223517248226,0.2833471052385653,0.908026403041679,0.00775249917455967,0.9901340725679667,0.32330656519545026
2,0.9704899183459084,0.024050249283873903,0.8830637829728732,0.013911457662468473,0.9893963961618718,0.31101737023934833
3,0.9832747261808299,0.2729429670819848,0.8740478991498533,0.01038857598449154,0.9897197968113497,0.3118635356020683
4,0.9792630683846582,0.21498316032631132,0.8083535800155399,0.003980294050647939,0.9848995850208657,0.27353641234054143
5,0.985772490418735,0.2994290542268386,0.7937321507338851,0.004313582414061686,0.991615407716095,0.338810554127874
6,0.9824667079782212,0.2668157957792123,0.9452028099301814,0.013676388864581304,0.9898099830434414,0.3017783280161716
7,0.9804646356648241,0.24223461188368284,0.8634415841251347,0.005352807832110239,0.983763025791232,0.27250525031806944
8,0.9840012033317671,0.2831086440444274,0.830303177453479,0.005767862795993975,0.9896850186927251,0.3205212424198599
9,0.9840384791260024,0.12711925397991305,0.9276686920640475,0.009843662654099476,0.9895782793169489,0.31035811345709113
mean,0.9817440248771069,0.2279253116769643,0.8653227407394104,0.007906813911069222,0.9887308582673267,0.3059810815103586
sem,0.001255285162943724,0.02491053825537653,0.0148302477786111,0.001100998736150864,0.0006997545897303674,0.0059975828965615876
