,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.7607427186163962,0.06420131582119273,0.7699793312126825,0.16874876749614778,0.8049910619521852,0.10168428421839092
1,0.7660226961645231,0.046183236203207675,0.7376568765039958,0.05634051110005277,0.8031630543550929,0.05845419021305177
2,0.8217707281775308,0.07667999157972384,0.8336072004661621,0.11949119984989652,0.8336072004661621,0.11949119984989652
3,0.840562599933068,0.1128978304128511,0.8069609660925742,0.18360673469080185,0.8459286698434868,0.07845569127433072
4,0.7881615360841475,0.0725297557132126,0.7718560950578847,0.12040609797711552,0.788443094796711,0.11384187146124916
5,0.8019383415383593,0.07068021214281843,0.8089612549612758,0.11053285962395899,0.8417132611808904,0.11240978805513369
6,0.8268730867827563,0.09418576728300392,0.8159166544281818,0.16977526442746974,0.8416755940483338,0.09610616563703822
7,0.8186152679356514,0.06284842989042352,0.8333347447589033,0.15215822195916753,0.8705973314843384,0.14892884848919027
8,0.8429670484448702,0.1100476322943395,0.7703562645944623,0.09762553453905162,0.8510917565280409,0.1268917162908461
9,0.8014774260364268,0.0885916855301089,0.7598899601133892,0.1142352464202476,0.8302156137836492,0.12044408028907891
mean,0.806913144971373,0.07988458568708821,0.7908519348189512,0.129292043808391,0.831142663843889,0.10767078357782063
sem,0.008200838167490444,0.006105944231499061,0.009464492748700124,0.011179118762231724,0.007193996616972443,0.007311550797347117
