,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.3232995854454198,0.5116220284595325,0.617174034810978,0.7788854244587415,0.617174034810978,0.7788854244587415
1,0.35814971564619497,0.5444992082862393,0.6289321154642006,0.7837347560042821,0.6289321154642006,0.7837347560042821
2,0.314140898865998,0.5256657727895618,0.6351377263629127,0.789865484328772,0.6351377263629127,0.789865484328772
3,0.40911325931111153,0.5889164442828096,0.6283951674959145,0.7852924549927294,0.6283951674959145,0.7852924549927294
4,0.22623304893332208,0.4560676536710239,0.6322798398294838,0.7865099557670835,0.6322798398294838,0.7865099557670835
5,0.15879923445909094,0.4142305971465257,0.6297787784322315,0.7825631647371274,0.6297787784322315,0.7825631647371274
6,0.3271015613978959,0.5374366714132724,0.6324887236036552,0.7901167837683978,0.6324887236036552,0.7901167837683978
7,0.2436560852670804,0.5028483466993148,0.6287190188543682,0.7837839905250102,0.6287190188543682,0.7837839905250102
8,0.3246910408028231,0.5385086198970069,0.6340777214617308,0.786730021223986,0.6340777214617308,0.786730021223986
9,0.16213744254716148,0.41630076545980105,0.6209104618680541,0.7820471048249269,0.6209104618680541,0.7820471048249269
mean,0.2847321872676098,0.5036096108105088,0.628789358818353,0.7849529140631056,0.628789358818353,0.7849529140631056
sem,0.023856188504070383,0.016441178561103314,0.0016300857242480514,0.0010014354437659012,0.0016300857242480514,0.0010014354437659012
