epoch,updates,auc,ap,val_auc,val_ap
0,0,0.5183245151877299,0.0058650136441546355,0.534569951753718,0.4787298228379126
1,250,0.7646675000422049,0.03557474595217958,0.8397274625071592,0.851834152634594
1,500,0.9850919392501838,0.49131395127483607,0.9878277785321546,0.9916934791406008
1,750,0.9831829976604725,0.6340131588733074,0.9935051843147514,0.9955446695034106
1,841,0.983471549136202,0.7132927064652281,0.9940807849254594,0.9960640958345638
2,1000,0.9828888119761565,0.7925485099697656,0.9949070658515503,0.996624234578519
2,1250,0.9835664479665045,0.8448238878530835,0.9947281734542801,0.9966434152827355
2,1500,0.9830371495853277,0.8381928687896633,0.9952779563105221,0.9968941151631736
2,1682,0.9816315559154584,0.8472284623810227,0.9956479030638229,0.9971169968149359
3,1750,0.9840827607726895,0.8450833348800063,0.9958563971127512,0.9972572988977974
3,2000,0.9840224947398422,0.8346283269969723,0.9957119364255242,0.9971374853440741
3,2250,0.9796313980748633,0.8308096020796941,0.9961324866136584,0.9974179710609749
3,2500,0.9824964931361685,0.8650484305094847,0.9962332652529483,0.9975287809734761
3,2523,0.9788016177640348,0.820484295083376,0.9960922511504693,0.997424729137992
4,2750,0.9836311551625461,0.8418309186594289,0.9966060411355123,0.997751159857533
4,3000,0.9852031752165219,0.8761309450179431,0.9964507164467225,0.9976712191624478
4,3250,0.981521388862622,0.85056236791843,0.9965814554832394,0.9977242941903337
4,3364,0.9840116538880701,0.8535263758447516,0.9967863057281019,0.9978593951385176
5,3500,0.9852302290724391,0.8696716912663952,0.9965663570135318,0.9977495475828629
5,3750,0.9849208924012636,0.8503607461359415,0.9967030355319145,0.9978043099426869
5,4000,0.9836979726007264,0.8169560767771793,0.9966704722199572,0.9978201249013152
5,4205,0.9876055272786174,0.8898852193397692,0.9965883667153285,0.9977554075062215
6,4250,0.9868229653596995,0.8755133605603188,0.9966016817848462,0.9977681127226147
6,4500,0.9777731367775648,0.8018718108835964,0.9966513150250862,0.9977920291373981
6,4750,0.9845897016211405,0.8603303230210376,0.9968043315478241,0.9978775491438411
6,5000,0.9834549913212499,0.837966072646917,0.996740681130381,0.997833625412584
6,5046,0.986997274118854,0.8788473970039394,0.9967990891178461,0.9978657559406114
7,5250,0.9801647997046433,0.8063717394447272,0.9967927850135869,0.99787595952117
7,5500,0.9842031411216293,0.8273910037467378,0.9968870014436689,0.9979290996873298
7,5750,0.9797094770340004,0.8258909302633479,0.9967704005778016,0.997869584547956
7,5887,0.9803422324497092,0.8178558518116682,0.9964506394430361,0.9976964448180858
8,6000,0.9778203068959623,0.8045631457590517,0.9966886026990106,0.9978115046836794
8,6250,0.9762680789823083,0.7983935292944018,0.9967058197207548,0.997782845505212
8,6500,0.980598040691206,0.8342151319173873,0.9967850898736003,0.9978779345942069
8,6728,0.9839897584018257,0.8491732260882663,0.9968212192513339,0.9978925218338885
9,6750,0.9789958496916178,0.8224546414461886,0.9969013414573146,0.9979284110177482
9,7000,0.9751567813362131,0.7979498891038551,0.9968771666642163,0.9979288302420883
9,7250,0.9816679472480291,0.8453751465279205,0.9968373992728174,0.9979199411960692
9,7500,0.9727430298288381,0.8175713720699171,0.9966563429941803,0.9978007267283888
9,7569,0.9811170706065504,0.8072986682189276,0.9968249989569673,0.9978963857093921
10,7750,0.9845930393897522,0.870763400248765,0.9966059851760434,0.9977615318430942
10,8000,0.9801281256272109,0.8489122166427545,0.9968532838974438,0.9979030844950504
10,8250,0.9803818856925142,0.8275618024774088,0.9968043685372492,0.9978809531583146
10,8410,0.9775333691348096,0.8301901023117219,0.9967094644322714,0.9978224090331352
11,8500,0.9828591099732416,0.8055437374359196,0.9964234703214082,0.9976301347243807
11,8750,0.9745005305121153,0.794222130217895,0.9966558813609698,0.9977907510502498
11,9000,0.9808568143056432,0.8291525274100692,0.9968387496028926,0.9979148088443142
11,9250,0.9794526826335954,0.8178673286175809,0.9967527698016824,0.9978341447340199
11,9251,0.9806516173943977,0.8188916436057042,0.9965414972246786,0.997702082460275
12,9500,0.9771912133710238,0.8238388342800776,0.9967217862320171,0.9978276216385902
12,9750,0.9740819508810661,0.8081194122951292,0.9967457944430667,0.997845534971058
12,10000,0.9810958509494876,0.8271799304523133,0.9967044955339065,0.9977945557208259
12,10092,0.985063230302393,0.8654046514677,0.9967965153711789,0.99786900721614
13,10250,0.981591144088878,0.803666037310421,0.9968786405372427,0.9979041975959324
13,10500,0.975091750018013,0.8276074892204432,0.9965533444708423,0.9977230717041238
13,10750,0.9802252105580297,0.8101093084437578,0.9966465165978451,0.9977812673226131
13,10933,0.9808987846770711,0.799753972600321,0.9967876636202674,0.9978736035105492
14,11000,0.9776907132022596,0.7884238462478377,0.9966695216003751,0.9978006622802841
14,11250,0.9706047959486882,0.7941987336365373,0.9968919366799286,0.9979277999926155
14,11500,0.9777053262842602,0.8040806360587031,0.9967688358732665,0.9978500499638961
14,11750,0.9732536256718431,0.8385674761742079,0.9967663880894195,0.9978609251421444
14,11774,0.9710400023568508,0.8140715471276919,0.9967755266812232,0.9978511835266942
15,12000,0.9745065853898861,0.8124881556342164,0.9969070018764383,0.9979205053908485
15,12250,0.9708229370576285,0.7953900434173338,0.996754438258098,0.9978421485050878
15,12500,0.9766498948851151,0.8066935811276633,0.9969385757212748,0.9979664870662242
15,12615,0.9758652503089229,0.8106999858647669,0.9966863275036727,0.9977992776864583
16,12750,0.9781836271470817,0.8000122407020299,0.9967163085562096,0.9978199662057077
16,13000,0.9725102756378973,0.7949870480284097,0.9965474116436162,0.9977272472104225
16,13250,0.9759225578650462,0.7936301522898033,0.9968304903309615,0.9978869474515775
16,13456,0.974513378162784,0.8087084108777363,0.9968335630891717,0.9978939240343296
17,13500,0.9708860650201739,0.8037748047279184,0.996978528016587,0.9979873510752886
17,13750,0.9736824461838601,0.81096418616266,0.9967644498608301,0.9978511454808557
17,14000,0.9745838436993025,0.8302726669096654,0.9968775426081395,0.9979248644741343
17,14250,0.9711822850882511,0.7921137371315856,0.9967014334058348,0.9978088878106596
17,14297,0.9665177879344024,0.8062113333677267,0.9967367743384167,0.9978587099064438
18,14500,0.9755905395389863,0.8126086169200295,0.9968291946207851,0.9978827419756134
18,14750,0.968542510096888,0.8069985705380164,0.996702400575592,0.9978029669413727
18,15000,0.974826087083652,0.8022115064227501,0.9967964034522409,0.9978472802678512
18,15138,0.9733685855948968,0.8222031729785129,0.9967505482323684,0.9978232590263971
19,15250,0.9723780544858451,0.8118574223031677,0.9966764004235052,0.9977868223994147
19,15500,0.9699229808513594,0.7970199990384967,0.9967931928479256,0.9978546605922198
19,15750,0.9725516874158179,0.8010568201672894,0.996751653032171,0.9978379166901759
19,15979,0.9753420826638947,0.8217401492008198,0.9965761671189637,0.9977360228273746
20,16000,0.9729692739917428,0.8159196261717216,0.9967511890223036,0.9978407832421147
20,16250,0.9709628543868928,0.7927963388432617,0.9969142228517505,0.9979346703247698
20,16500,0.9734036873350495,0.8213732074910224,0.9966991525497321,0.9978114697545164
20,16750,0.9713580696376596,0.8017076775889456,0.9966790629275079,0.997808237929741
20,16820,0.9691665900726928,0.83346192977574,0.9967236459445021,0.9978269272545462
21,17000,0.9668193939472849,0.8151201812426042,0.9969498148889457,0.9979745142393666
21,17250,0.9710254168597148,0.8138044388316575,0.9969147130048447,0.9979367424982392
21,17500,0.9758141493473256,0.8199139037801172,0.9966216835571858,0.9977770695232263
21,17661,0.9740805716378381,0.8367348390171961,0.9971702003898577,0.9981135121662312
22,17750,0.9688605360003999,0.8139042340280694,0.996766729809482,0.9978414160100857
22,18000,0.9734250104353542,0.8045069826781928,0.9968168113736533,0.9979008917403778
22,18250,0.9710488088248616,0.8051247765479026,0.9967864571427578,0.9978597372642068
22,18500,0.9671363509372951,0.7964783240335063,0.9967656044407935,0.9978574233666789
22,18502,0.9670106673981437,0.8055945941360112,0.9967029118593274,0.9978207047265903
23,18750,0.97002449315294,0.8061455833451426,0.9967351383341719,0.9978463253823344
23,19000,0.9657204129432156,0.8181276256357957,0.9967574532851493,0.9978481208082467
23,19250,0.9735495560988425,0.8269826679310245,0.9967600125126029,0.9978467415272566
23,19343,0.9719300004270137,0.8206961842666444,0.9968208325908484,0.9978737523566422
24,19500,0.9761453677123133,0.8236822616438895,0.9968373033855111,0.9978887203938029
24,19750,0.9756802868958322,0.8012009832255916,0.996717638144551,0.9978166985759359
24,20000,0.9716598204710811,0.8201715004844347,0.9967756147903793,0.997851799328043
24,20184,0.9712016496631722,0.8270705951890565,0.9967445710264745,0.9978572009292113
25,20250,0.9725348330635718,0.8136669419820659,0.9969105544168758,0.9979346604485767
25,20500,0.9677596378482437,0.8106221186433217,0.9969141250631185,0.9979467223848104
25,20750,0.9737189064785923,0.8042576600020622,0.9965717810201035,0.9977437406374516
25,21000,0.9710924894578923,0.8172665245312113,0.9968550964224846,0.9979232226065717
25,21025,0.9703881926959471,0.8018004273896858,0.9968069050352196,0.9978882157684865
26,21250,0.9718884576209864,0.7909718852928138,0.9967610091961187,0.9978619523666366
26,21500,0.9713111408868269,0.8197834212119528,0.9966057275032142,0.997752305910024
26,21750,0.9707209696057825,0.8171582973832153,0.9969302377171795,0.9979421936552514
26,21866,0.9701460320661913,0.8188793035837146,0.9967724596269897,0.9978365954313738
27,22000,0.9696551938824274,0.8055499140794641,0.9968384435758968,0.9978806359622924
27,22250,0.97244952686992,0.8147446756598553,0.996950875007597,0.9979653223999929
27,22500,0.9712294621028649,0.811406009840922,0.9966897938794916,0.9977760893836221
27,22707,0.9676862138350012,0.8116925284690241,0.9968866331482601,0.997935668679961
28,22750,0.9678773562577534,0.7999178149762245,0.9970040441084638,0.9979756116384315
28,23000,0.9672212502541945,0.7958875757571688,0.9968364618328787,0.9979013236723481
28,23250,0.9705729974960666,0.8106933221544689,0.9969970859914141,0.9979863710677366
28,23500,0.9665808124537058,0.7980476279242698,0.9968145679390952,0.9978851427353566
28,23548,0.9691294194676981,0.8042701939133063,0.99699467225858,0.9979832759428677
29,23750,0.9673447132117489,0.8021936774879752,0.9967432632601655,0.9978661735410157
29,24000,0.9682777160857606,0.8129418745228508,0.9968499583493543,0.9979217174193071
29,24250,0.9671957618393411,0.8116703237920252,0.9967397983103408,0.9978336025606815
29,24389,0.9669908545691736,0.8119372910782673,0.9967461409596551,0.9978486928105372
30,24500,0.9677536933099311,0.809159506372853,0.9967745377326457,0.9978480889444187
30,24750,0.9663952628622431,0.8134820878362886,0.9970340732558957,0.998009375610275
30,25000,0.9670928840869647,0.8056135805956006,0.9967278018965423,0.997840617122153
30,25230,0.9671613566170187,0.8109264648965924,0.9970586249867917,0.9980314212557053
31,25250,0.9654032628591536,0.8084313922470718,0.9970172517530858,0.9980224655682232
31,25500,0.9667961812837577,0.8133796870944314,0.9969449102899552,0.9979598405813466
31,25750,0.9679732550393961,0.8072485255974882,0.9970688080545224,0.998018319797505
31,26000,0.9679860475203358,0.8142195278898104,0.9967366880009502,0.997819626403877
31,26071,0.9686446706427858,0.8168042257179595,0.9965524101853754,0.9977102536579991
32,26250,0.9681349575154466,0.8022936410295631,0.9969539103874746,0.9979830812933143
32,26500,0.9682478761585229,0.8177993966372539,0.9970347222561003,0.9979942420155798
32,26750,0.969026058980192,0.8131497954156617,0.9968083583393601,0.9978860348887768
32,26912,0.9691952093696737,0.8051499804939515,0.9969029702883764,0.9979215834139352
