,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.8898740486118139,0.7084268908244511,0.8613791455775781,0.5789964181213051,0.8608311032809327,0.7961651829869487
1,0.9062114053263725,0.5835664354114486,0.8569263001932816,0.07231331373987399,0.9162189459249486,0.6917415934337694
2,0.8921054986455279,0.8566670670134545,0.8913230401698522,0.8617154954765984,0.8907939348827274,0.8625265253003527
3,0.9305823159391636,0.7998995961399619,0.8296131603416594,0.06552942271430744,0.9305823159391636,0.7998995961399619
4,0.878299425650018,0.6940777416739121,0.8498378451321706,0.7509497584422513,0.8496172627627169,0.7607890213939882
5,0.8886282333736919,0.6922481160576137,0.8875064810639284,0.831977889221759,0.8875064810639284,0.831977889221759
6,0.8836593855129367,0.6938558223352762,0.8516151517482019,0.7651904774556328,0.8516151517482019,0.7651904774556328
7,0.925292407839795,0.725948230629555,0.8817172179538628,0.6810484938865989,0.925292407839795,0.725948230629555
8,0.8896406668652042,0.8312587052350534,0.9223204283245361,0.8611867850188516,0.9223204283245361,0.8611867850188516
9,0.9141905894565572,0.7484385006643792,0.8502650105523142,0.7517098507958553,0.8502650105523142,0.7517098507958553
mean,0.8998483977221081,0.7334387105985105,0.8682503781057387,0.6220617904873034,0.8885043042319266,0.7847135152376674
sem,0.005182251183844418,0.022833821698463205,0.007755103942854669,0.08685786195803835,0.009602487606625664,0.01613539686444503
