,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.9433724261366789,0.9313800841545297,0.9414174312655962,0.9252840244551844,0.945482336375716,0.9322178735725888
1,0.9386680942175635,0.9188650068840416,0.9385395372588722,0.9224144593912789,0.9455449779879582,0.9341965480991976
2,0.9357891365838443,0.9118445574215316,0.9325894155344449,0.9079333161897191,0.9434730570880037,0.9295427932384903
3,0.9371023205202792,0.9154166596656228,0.9449885426570855,0.9333386264331933,0.9450149644313012,0.9340834117466523
4,0.9318700941269031,0.9090968102972671,0.9353015360276443,0.9181615121233601,0.9434017251543189,0.9344360598506307
5,0.9393173441246515,0.917421135126136,0.9348331308610215,0.9141260997369131,0.9406080545917558,0.923643610132894
6,0.9345553724651277,0.914838950947327,0.9356034786202277,0.9151037684930512,0.9459383407487025,0.9333782016765624
7,0.9328832673787251,0.9104155557410721,0.936075587238775,0.9184705820898409,0.9426276870921529,0.9225780678645857
8,0.941188621937655,0.9299306216164618,0.9352330096112901,0.9172770726079512,0.941188621937655,0.9299306216164618
9,0.940138242373573,0.9221061831786463,0.9401185755588567,0.9255805012101979,0.9475994084058915,0.9377409726621089
mean,0.9374884919865002,0.9181315565032637,0.9374700244633815,0.9197689962730692,0.9440879173813455,0.9311748160460173
sem,0.001063799352787036,0.00219603632211078,0.001071012241276448,0.0020438199220273096,0.0006337337165516115,0.0013886502756123502
