,val_auc,val_ap,te_auc,te_ap
0,0.9653928048388957,0.9615495107773253,0.9573020984656722,0.06914746903827376
1,0.9659552524713907,0.9615027889080683,0.9449644913918296,0.03679326346856484
2,0.9503508272732056,0.9459407499749362,0.9267015034403829,0.024275878124313706
3,0.9617278726880536,0.9558931092190224,0.9236557491734889,0.022664809629333493
4,0.9586178725028214,0.9553451044136517,0.9257482615150481,0.03993726581815202
5,0.9694894750421251,0.9653936851012141,0.9634098257768938,0.0831906347928732
6,0.9693902268623059,0.9665379940889478,0.9868119907798386,0.14547895372114042
7,0.9665147858787266,0.9616062957082055,0.9654003684973913,0.1008982839874083
8,0.969551167331195,0.9654558721885457,0.9455025471175024,0.03784245934732339
9,0.970010279676413,0.9659375067137541,0.9555875489001577,0.045081759979782234
mean,0.9647000564565132,0.960516261709367,0.9495084385058206,0.06053107779071655
sem,0.0017932800130568978,0.0018528335341839192,0.00581910036982428,0.011250328560151566
