,val_auc,val_ap,te_auc,te_ap
0,0.9719911938784828,0.9772481986043782,0.9622456716864868,0.39958057076282005
1,0.9691303031873556,0.9736253736747569,0.9594532834319455,0.4887801491979794
2,0.9684352059486977,0.9741334877754598,0.9342192837843698,0.2686867825007281
3,0.964764344636978,0.9692602074564942,0.9680738018707172,0.41705465258175806
4,0.970865228605903,0.9744553121675642,0.9521706033394679,0.37264746516625796
5,0.9703876473357249,0.9742277130140422,0.9087031461420747,0.2928977294499431
6,0.974185898498938,0.9776537653104033,0.9415534372341164,0.37972506770569736
7,0.9695177800329435,0.9740761577859715,0.9137253293384564,0.2680753383839254
8,0.9726942893457109,0.9769409315286981,0.9367648426708285,0.27596844452156644
9,0.9654205467605625,0.9696285032632586,0.9428347817777916,0.3560336761617254
mean,0.9697392438231297,0.9741249650581028,0.9419744181276256,0.3519449876432401
sem,0.0008569805114004258,0.0008223715929368923,0.00563653848516143,0.021250536266650986
