,val_auc,val_ap,te_auc,te_ap
0,0.9577899263521952,0.9726300963540738,0.39589073555901055,0.6879973043429908
1,0.9573178651083201,0.9723154069542908,0.3768925808893247,0.6673416739283756
2,0.9576516986764121,0.9724453522499344,0.39360347568387377,0.6840166008381352
3,0.9577946677173667,0.9726299177706379,0.39586275777715607,0.68805949794635
4,0.9574027520633894,0.9722501263089843,0.39334118367185156,0.6841831944238116
5,0.9571304332537534,0.9716756014180598,0.3967609020805196,0.6878040283604456
6,0.9571576151309793,0.9720788353788163,0.36039323030538756,0.658861665318057
7,0.9571357860743108,0.9721269041282825,0.39269090221337977,0.6812179440705781
8,0.957567681830389,0.9724670447746769,0.39683191112392785,0.6882748899060318
9,0.9577247943670263,0.9724268299162876,0.39491199381579717,0.6858335756855185
mean,0.9574673220574141,0.9723046115254043,0.3897179673120229,0.6813590374820294
sem,7.789402720418304e-05,8.280250636068995e-05,0.003390554402441877,0.002885745247549602
