,best-auc,best-ap,snooped-auc,snooped-ap,last-auc,last-ap
0,0.9724523098451677,0.08668099720602325,0.9746448460379173,0.07406915006603801,0.9654578150364374,0.04861666789273379
1,0.9709386982825347,0.12095402303996272,0.9750824065768409,0.10037113073963079,0.9664039023297005,0.04789639387016352
2,0.9645530562175135,0.2492255016030992,0.9746991986820137,0.11985018810331,0.9685745194047117,0.05189020695970742
3,0.9805473731836831,0.13608483737411878,0.9805473731836831,0.13608483737411878,0.9645830524958962,0.04517781985049522
4,0.9661082097654653,0.1719586740966692,0.974284387133693,0.09361161815293356,0.970550728690011,0.05050969208594987
5,0.9726549680214133,0.1531400569720998,0.9760086655485619,0.10843683961551855,0.9663546820061335,0.04971832054509882
6,0.9767583509401336,0.17721233822363494,0.9767583509401336,0.17721233822363494,0.969008168261348,0.04949086864863212
7,0.9708927692508611,0.13207324104279988,0.9741018231605866,0.0907765106737981,0.9660322240277731,0.046145493065703994
8,0.9688082091861656,0.11993279082461747,0.9729040587929634,0.0869157369833467,0.968919589404367,0.051773724895099314
9,0.9652109762014459,0.08028739355833187,0.9733726348230591,0.07775964175828778,0.9678674556388842,0.045635325186769174
mean,0.9708924920894384,0.14275498539413572,0.9752403744879453,0.10650879916906171,0.9673752137295264,0.04868545130003532
sem,0.0014549857214775105,0.014040591276707844,0.0006244144274829182,0.008928854448659075,0.0005400109634232429,0.0006976371899849907
