epoch,updates,auc,ap,val_auc,val_ap
0,0,0.7877530376025789,0.003906043743892805,0.692799410296761,0.5817652854799426
1,2209,0.9955900274000654,0.21635092335168166,0.993874548260986,0.9817072311067148
2,4418,0.9989049626131398,0.6495102678326286,0.9958330219692746,0.9931405535216691
3,6627,0.9987974739346803,0.5958331663371157,0.9972007165619333,0.9959948293073766
4,8836,0.9988690403979451,0.6290474217957045,0.9981001089993008,0.9972025739667278
5,11045,0.9985914318108333,0.4942378590788333,0.9977905824175667,0.9968778824240113
6,13254,0.9977889165515863,0.3925898704821803,0.997424106374898,0.9959986202700767
7,15463,0.9966045389195347,0.22345540846316136,0.99821973276652,0.9973847159454137
8,17672,0.9965931704669969,0.19758609307829983,0.9982539947411393,0.9973586538664497
9,19881,0.9957491937926122,0.15079924554558183,0.9979048396250939,0.9967465362571797
10,22090,0.9927393295128404,0.15939429475025094,0.9983498123661205,0.9975669652867255
