epoch,updates,auc,ap,val_auc,val_ap
0,0,0.7443692326254799,0.36444277993583646,0.9365483312750481,0.9486529212429607
1,841,0.862999404663453,0.3228293838449864,0.9476455513359817,0.9576913220803276
2,1000,0.8340427999586447,0.32036163131019496,0.9471060462248424,0.9572301170916064
2,1682,0.8378529386873422,0.3532175449842509,0.9399857935492915,0.9508035371786904
3,2000,0.8428195866551487,0.36168220128940637,0.9356715614257787,0.9472261821201936
3,2523,0.8593483961221859,0.3464070116404876,0.9356620038941664,0.947199606582782
4,3000,0.8318807051706505,0.3206567512535936,0.9343160058165711,0.9463800952349342
4,3364,0.8296085260844135,0.31344078522551033,0.9350561735461771,0.9475959766022377
5,4000,0.8084006477588236,0.2883213253775163,0.9478908397512682,0.9558999997094411
5,4205,0.8037519498361514,0.2916485100352546,0.9439780859646103,0.9535664387515
6,5000,0.7876299895365092,0.2877671017747976,0.9294389976962903,0.9414266785000784
6,5046,0.7868064709899358,0.2884711906383818,0.9365702649238212,0.9478917677406524
7,5887,0.7655621461620461,0.28681435256757587,0.9310245654339224,0.9434663952856424
8,6000,0.7549620550878572,0.2889470581184711,0.9347868776544441,0.9465160201425711
8,6728,0.7380865038733012,0.28103237947849297,0.9373613379669095,0.9496208342495644
9,7000,0.7494982795871671,0.28714461291836724,0.9356578479421264,0.9481648018471589
9,7569,0.7295450919298714,0.2865153757280929,0.9362078317771253,0.9484012208094096
10,8000,0.7307608258731906,0.2764936342774349,0.9370887684246332,0.948567926316096
10,8410,0.7179355810106234,0.276956759097272,0.9337610188161347,0.9453895266573917
