epoch,updates,auc,ap,val_auc,val_ap
0,0,0.48744299725663004,0.005628225339698709,0.7305127962323021,0.017017697711573517
1,250,0.7422392397236173,0.32777702398673175,0.9957408099235876,0.9702735102609785
1,500,0.7310219373048992,0.32262080362420714,0.9964437768299728,0.9750935308599176
1,750,0.7291955985921127,0.3167455919431801,0.9943669034449598,0.9554196074997382
1,841,0.7283509845203671,0.3202833327025897,0.9955800808747479,0.9698347056055692
2,1000,0.7325326431011744,0.3394717262150007,0.9934156609210313,0.9615727542147757
2,1250,0.7306999943506197,0.34704737861005264,0.9914174354610518,0.9602083812570336
2,1500,0.7347199918326733,0.35923569021396945,0.9954215008180871,0.9695608634575096
2,1682,0.7458507398426184,0.35943698071148683,0.9928272910764505,0.9709085460788415
3,1750,0.7384474725147168,0.34467672820757417,0.9963666206600735,0.981776831315819
3,2000,0.7480349438995576,0.35842828222157735,0.9917547148110097,0.9693635088642837
3,2250,0.7701814731001779,0.39829400353083416,0.9920000242139964,0.9658843142133667
3,2500,0.7735580536163702,0.412919134962755,0.9928157678085295,0.9650166663395298
3,2523,0.768134717527125,0.37836014863910816,0.9935316373158439,0.9684311048774578
4,2750,0.7680743894283324,0.39276003584372854,0.9936775482636835,0.9699431878072151
4,3000,0.76287858709441,0.37092755205940053,0.9933297358252995,0.9653911152397565
4,3250,0.7665024245440857,0.42399442162956935,0.9937164679389392,0.9660765483895404
4,3364,0.7730912280572058,0.4217619753491329,0.9950686812711657,0.9711359433548417
5,3500,0.7755108137634351,0.4231814146498706,0.9967527820152271,0.9715512279019373
5,3750,0.7699798070515962,0.4053871837367554,0.9972496143056291,0.9709796526069205
5,4000,0.7927858627789809,0.4417069012777287,0.993877767746265,0.9614952417888581
5,4205,0.7716922133775338,0.4064440522542394,0.9969782705326041,0.9647885522865185
6,4250,0.7817845429535512,0.4390146998641722,0.9962428871385629,0.9688054758234761
6,4500,0.7823132275714915,0.4411193770990451,0.9948027597037591,0.9711191880168426
6,4750,0.7862282853325427,0.4404514570896167,0.9937586954190578,0.9663090608922899
6,5000,0.7731253988081793,0.4522243043115456,0.9938410835417466,0.9679362733900828
6,5046,0.7774553743095095,0.43679115952408065,0.9948687904071064,0.9673646335869803
7,5250,0.7536539049520459,0.42809159457811546,0.9960423130938915,0.9723197682507172
7,5500,0.7825464644975622,0.4116502376831707,0.9912747934027237,0.9621633784510938
7,5750,0.7680278123845229,0.4666431195029928,0.9950690358332555,0.9672164351747095
7,5887,0.7775987604354921,0.4631437874371679,0.9922323834528467,0.9560693163644238
8,6000,0.7920203138252804,0.45823989701097334,0.995666909671416,0.9560416347267898
8,6250,0.7637642474446209,0.4409456681688345,0.9967737357699532,0.9656166464231355
8,6500,0.8084436456664564,0.451148864997878,0.9927285930976274,0.9700318333766701
8,6728,0.7909841297653819,0.44440821102122613,0.9949425955328636,0.9678819872954688
9,6750,0.7868496619916207,0.4614343842986834,0.9916073034601801,0.9588398072589249
9,7000,0.8043040264192385,0.48252505670538487,0.9960618658959698,0.9651830841025033
9,7250,0.8152856023778594,0.43941181615035974,0.9959010676642833,0.9556351442486983
9,7500,0.7803889970705977,0.4279123509871784,0.9956095224999914,0.9525641372638386
9,7569,0.7924573339382878,0.4301866083393685,0.9946267325979197,0.9470315313066401
10,7750,0.7673157160021233,0.4588383565195573,0.9911188336463858,0.943974648336764
10,8000,0.8184231186653428,0.4991252419705011,0.9954020734099187,0.9587891274760716
10,8250,0.7797242225233508,0.45773727824332383,0.994427914067986,0.949563786332161
10,8410,0.7871755288928837,0.4294644738060368,0.9937959547059902,0.9486813619262674
11,8500,0.822876943312331,0.44980126473969395,0.9930884649709951,0.9519498515506742
11,8750,0.7846557480623564,0.43582814827432437,0.9895922838641388,0.9174133376115475
11,9000,0.7920396439191207,0.46217078646126025,0.9952933266225972,0.9525927708679499
11,9250,0.8049128519649417,0.445936588184647,0.991272462805572,0.9318766312840062
11,9251,0.8034163041004019,0.44101258935044285,0.9942396632179018,0.9379073198256231
12,9500,0.8260403410989876,0.48867582694011336,0.9943700858559129,0.9445255453601309
12,9750,0.7852019490692922,0.434214560316436,0.9923264937441411,0.9421319818726226
12,10000,0.8470447603597994,0.4826843766101341,0.9944412490617076,0.952253165273332
12,10092,0.825425136553355,0.45907647276998553,0.9954489058732778,0.9457592955095289
13,10250,0.8063225419871982,0.4617274734097965,0.9929044256267101,0.9308333786231421
13,10500,0.7778743539210947,0.40561628100423214,0.99352989477289,0.9540171735782759
13,10750,0.7904939122410706,0.45753154598747453,0.9913039064094449,0.9348014126820937
13,10933,0.7902875153882167,0.4558811147025592,0.9912821916434039,0.9358301687866543
14,11000,0.8245216632768546,0.46093637317421815,0.9924698319548652,0.9459564365618283
14,11250,0.8348894070368548,0.4629525496845057,0.99219027704271,0.9470221526230107
14,11500,0.8075216974269169,0.45046499167761417,0.9946793461529149,0.9487605571064741
