epoch,updates,auc,ap,val_auc,val_ap
0,0,0.7977564209013388,0.3792502558912756,0.9772133499784779,0.981418857545276
1,841,0.9283488522103366,0.4546000371210373,0.9885330129906695,0.9922777433886392
2,1000,0.9536636203413439,0.4572743095241826,0.9836757918361487,0.9869462592232426
2,1682,0.969737734693407,0.46796693452191307,0.9417130418040212,0.9523351330857192
3,2000,0.9674782446448675,0.4548911577289114,0.9430336206709209,0.9535329474972354
3,2523,0.9624592199154778,0.4490504607272619,0.9867222592939229,0.9892343653977357
4,3000,0.9352057737107634,0.4253838541816854,0.9877064138950262,0.9902884207882447
4,3364,0.8805464335473441,0.4274103893622788,0.9902176069503663,0.9930116893051365
5,4000,0.8530755220628712,0.4181708797052465,0.9878216097244958,0.9907678986256233
5,4205,0.7929807084698003,0.4196559521057581,0.9894567960535184,0.9926403989308621
6,5000,0.755235738321589,0.4140654569930636,0.9889699520004064,0.9922676773461673
6,5046,0.7778525067083633,0.41306045181582696,0.9808115565836762,0.9846862367993062
7,5887,0.754751203279377,0.4033276518789758,0.9883423740310678,0.9919478140135553
8,6000,0.7513812569231114,0.4036224240642827,0.9879207549090456,0.9920352927144704
8,6728,0.751890004580191,0.4018570281127358,0.9883457983616641,0.99214261088002
9,7000,0.7527208744931695,0.4076857858612619,0.9879081589295078,0.9919564264932981
9,7569,0.7473277438306175,0.40452430744380835,0.9883148962465156,0.9922077084566041
10,8000,0.7489507131294356,0.4068938084043741,0.9877972870169093,0.9919727787137013
10,8410,0.7447517174612523,0.4074203130075861,0.9877649121954568,0.9917608846879051
