epoch,updates,auc,ap,val_auc,val_ap
0,0,0.42312059123676893,0.5640511451413787,0.8369324583162077,0.892402204576572
1,1734,0.9916083162951463,0.9865147502603838,0.9697616123931889,0.9813339793953185
2,3468,0.9603925838396562,0.9729168106204898,0.9658248712885033,0.9795340203534195
3,5202,0.9526671561533961,0.9719144895647197,0.9659618766721086,0.9793665709191837
4,6936,0.9727163510366478,0.9838852720473859,0.9644723008619399,0.9787288713935632
5,8670,0.9632190241849502,0.9819617382132396,0.9679668233882069,0.9805276704508378
6,10404,0.9018822785444599,0.9547692743183204,0.9659720313279924,0.9792316766073492
7,12138,0.9082715895589221,0.957585128243071,0.9682307191707138,0.980735064947244
8,13872,0.8280507831604861,0.9198673985455785,0.9674199990168265,0.9802162099441495
9,15606,0.7665100535008179,0.8889928050607477,0.9644920294249505,0.97863323157311
10,17340,0.7497029570325349,0.8802774678082413,0.9647956610661098,0.9789188714141406
