epoch,updates,auc,ap,val_auc,val_ap
0,0,0.9834638445381599,0.07018024852683495,0.9999995781739649,0.9999995788142051
1,1000,0.9942037489514698,0.12878543872928483,0.9999990630327749,0.9999990615873947
1,2000,0.9947331675537403,0.13555488269046745,0.9999959796731156,0.9999959765497155
1,2209,0.9947929949416349,0.14216261554989157,0.9999947671891111,0.9999947773481429
2,3000,0.9946638691410704,0.156169472582669,0.9999893425748573,0.9999888152749126
2,4000,0.9943047879869409,0.18017205066477507,0.9999556218006139,0.9999363984604042
2,4418,0.9945511957714642,0.1972259077780079,0.999957881962725,0.9999407593275214
3,5000,0.9949517302837133,0.21303212799140125,0.9999408312985085,0.9999138819207131
3,6000,0.9953886100046072,0.18604096684649407,0.9999364617435036,0.9999007283694236
3,6627,0.9948323977886483,0.1428911108934171,0.9999119983292972,0.9998770691242396
4,7000,0.9956590035320114,0.16281751075696574,0.9999197023279083,0.999883744562517
4,8000,0.9950082744367325,0.13089810510688157,0.9999019345294073,0.9998613491970503
4,8836,0.9944931650986057,0.11835004388707981,0.9998567136725288,0.9998040856662374
5,9000,0.9945722648737932,0.12386013997797796,0.9998740222826525,0.9998330890858407
5,10000,0.9958700047504985,0.16417598807172526,0.9999122865066125,0.9998914494920365
5,11000,0.9960012253757686,0.15902910980185286,0.9999215481827413,0.9999073602708956
5,11045,0.9960850183639988,0.1653823094285299,0.9999328822397132,0.9999233672499686
6,12000,0.9956371206708544,0.14748808020672236,0.9999075093436545,0.9998921862639827
6,13000,0.9957619883373535,0.15069839149030564,0.9998820098797686,0.9998512785852296
6,13254,0.9961625873057474,0.16145042786085673,0.999904713110436,0.9998814410020888
7,14000,0.9955264978123545,0.14429682713724032,0.9998713876714326,0.999855401929087
7,15000,0.9964160369240893,0.17143606843485137,0.9998283874812978,0.999797178040626
7,15463,0.99550604507191,0.14746657659939286,0.999831752156312,0.9998103235834832
8,16000,0.9962571444701579,0.1728660746657501,0.9997777421540353,0.9997266007578081
8,17000,0.995188240021502,0.15395053745497386,0.9997423066841069,0.9996619498544588
8,17672,0.9960221091666814,0.16198726737725772,0.9996391931125872,0.9995245649647213
9,18000,0.9960580031823126,0.17478457264775762,0.9997964798972044,0.999751669468471
9,19000,0.9943821434177099,0.14526583511134764,0.9997939334843814,0.9997705021610988
9,19881,0.9949120454410665,0.1560377406436576,0.9995251481316706,0.999404718680078
10,20000,0.9956552610471044,0.15440941165013466,0.9996706805845718,0.9996147303078556
10,21000,0.9950122787747276,0.1525431781226666,0.9996531638825281,0.9996022690349233
10,22000,0.9945821750060551,0.1377724274829677,0.9995163633336401,0.9993956527157812
10,22090,0.9948499540310861,0.13709988041638813,0.9994980106171323,0.9993845431606192
