epoch,updates,auc,ap,val_auc,val_ap
0,0,0.869645024782864,0.013718899490281069,0.12164126629722433,0.3234376143932744
1,2209,0.9963794822329739,0.27124078263081075,0.9956411556332571,0.9924789284259762
2,4418,0.994995133440213,0.4778276020700967,0.9981939068747374,0.9975208992126355
3,6627,0.9971836008388226,0.5093537144261288,0.9988260439451171,0.9982363744607698
4,8836,0.9983422080984844,0.5257700129883984,0.9983853505152464,0.9975716718959514
5,11045,0.9973490275344323,0.27835743711357963,0.9976276851765415,0.9958929616205062
6,13254,0.9975391570475337,0.2515358212392037,0.9976994413593293,0.9955850549435016
7,15463,0.9975708694707717,0.3058027211766408,0.9977255143317274,0.9964160083980752
8,17672,0.997039819322336,0.22089359988499666,0.9985038937645305,0.9978922009581602
9,19881,0.9965626867390192,0.20032765927464297,0.9982723483271208,0.9975634750054124
10,22090,0.9958876053065359,0.1631048684954456,0.9987452914195056,0.9983018336701712
