epoch,updates,auc,ap,val_auc,val_ap
0,0,0.6567411181960694,0.7796322168758277,0.49353520393289246,0.6439290391381218
1,500,0.984541433886366,0.9704965417296038,0.9967325912880971,0.9964008947042241
1,1000,0.98835015617043,0.9822276017361026,0.9947788247649582,0.9939216069369956
1,1500,0.9939401433123631,0.9913197810245055,0.9957055919024367,0.9946663733198047
1,1734,0.994966797770281,0.9936142735152855,0.9965284845170105,0.9958113333501543
2,2000,0.9951204139250353,0.99488174485402,0.9955584674777698,0.9950492445666231
2,2500,0.9947993432742795,0.9951544172237112,0.9934268518094872,0.9937543714756927
2,3000,0.9902393737135627,0.9931788647460082,0.9854702426885882,0.9891828707463793
2,3468,0.9791637842455011,0.9878644496825207,0.9837257275239618,0.9879547454436932
3,3500,0.9794802189629922,0.9880606798580659,0.9842407481431071,0.9882545246378113
3,4000,0.9503632632238763,0.9745439147865398,0.9876564403332355,0.9901998679164126
3,4500,0.9160456511030332,0.9587846747214818,0.9847934810763558,0.9883955411278019
3,5000,0.9164558322181743,0.9596049632919367,0.9787847457263823,0.9852154215543645
3,5202,0.9197045443729003,0.9616590964716907,0.9825411065084689,0.987425240370299
4,5500,0.9197618799531113,0.9617027307117858,0.9801519792275087,0.9861713736659075
4,6000,0.9173668878993767,0.9599654255209076,0.975841042080055,0.9838708419119381
4,6500,0.9182473421976383,0.9608421199723285,0.9737672009648852,0.9828197733050814
4,6936,0.9194239557272662,0.9615964730381458,0.9752298919449152,0.9836864982045376
5,7000,0.919064609085783,0.9615478359129228,0.9765429697928896,0.9844612604389368
5,7500,0.9175303344182023,0.9605214662715831,0.9713945563392224,0.9817818435512198
5,8000,0.9172786347643462,0.9604026086015411,0.9725792279577798,0.9822165207159612
5,8500,0.9113193450382773,0.9566306404866076,0.967934175294939,0.9799887323277929
5,8670,0.9064255629674141,0.9541701306723487,0.9657795775604027,0.9786193173826098
6,9000,0.9037863987157404,0.9524058330453566,0.9675973751399372,0.979493752796964
6,9500,0.8935596858260356,0.9465005841481076,0.9675954957786288,0.9791398423565004
6,10000,0.8901447264229773,0.9449805468681615,0.9660753008349792,0.9785849245383774
6,10404,0.8808070206258964,0.941021759427268,0.9637900960433557,0.9768402022915631
7,10500,0.8814335904360608,0.9404273264895433,0.9644981061836981,0.977396098273763
7,11000,0.8755157113072245,0.9377282728735218,0.9621516390404876,0.9760937903974355
7,11500,0.880506767433093,0.9404678647773966,0.964718551173319,0.9775695258722851
7,12000,0.8556937967301913,0.9266156249320701,0.9533438491880099,0.9709582481252423
7,12138,0.8723462835562377,0.9355409213707555,0.9563701604509297,0.9725902834589467
8,12500,0.8637850816207908,0.9316058855536433,0.9592732225147362,0.9741869745096791
8,13000,0.8444591843344763,0.9211220003910945,0.9500236902901135,0.9686964347717297
8,13500,0.850024959907689,0.9241568665301874,0.9486522736090821,0.9677028024471701
8,13872,0.8723547851307136,0.9365564113291817,0.9496053475964066,0.9682210217888855
9,14000,0.8432713095273208,0.9206549878083169,0.9500282442616919,0.9687457937868518
9,14500,0.8459348660143511,0.9218517672240579,0.9465118448238743,0.9662730191397582
9,15000,0.8409665361787796,0.9191931833743103,0.9446575252076097,0.9654840319726176
9,15500,0.8285636939224859,0.9132325269109415,0.9429637157333393,0.9644590632283221
9,15606,0.8150327406943143,0.9055152329373952,0.9402882348168876,0.9627864356636532
10,16000,0.8291371996284116,0.9132094284277341,0.9423537562913494,0.9639303600804006
10,16500,0.7934526101310937,0.8940624705163468,0.9390657268103803,0.9620334213613129
10,17000,0.7763861797326164,0.8841038496599292,0.9393859099026666,0.9620505765829764
10,17340,0.7957439017470188,0.8954165691620257,0.9365305978843315,0.9609901722353283
