epoch,updates,auc,ap,val_auc,val_ap
0,0,0.48891552572094904,0.6870729252296138,0.38529015379299264,0.5676573347702202
1,500,0.9846914784649589,0.9697170271641126,0.9929583527272671,0.9911321336405409
1,1000,0.9876088227148127,0.9817223459138369,0.9932440129283797,0.9914467563279885
1,1500,0.9941851651524618,0.9923716864239567,0.99561336438976,0.9942325715378966
1,1734,0.9947939300567731,0.9929759783777702,0.9959556601288347,0.9946504185651531
2,2000,0.9940691892258066,0.9920242316697471,0.9964598166858083,0.9957327769070322
2,2500,0.994599710516437,0.99226411962873,0.9970575139506163,0.9972158843394944
2,3000,0.9908237878512494,0.9922176007298222,0.9960375332505659,0.9965631502662361
2,3468,0.9720577308599125,0.9849872783063867,0.99446419512069,0.995830607096687
3,3500,0.9688497013355707,0.983611899581765,0.9941198251123109,0.9956894271940664
3,4000,0.9167832499297089,0.961656994356489,0.9920460043093532,0.9939357899461019
3,4500,0.9136859951196353,0.9607333756122736,0.985635784783091,0.9902204318066475
